Date,IntZone,IntZoneName,CA,CAName,Positive7Day,Population
20210630,S02001236,Culter,S12000033,Aberdeen City,13,4733
20210630,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,7,4831
20210630,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,12,6840
20210630,S02001239,Garthdee,S12000033,Aberdeen City,18,5581
20210630,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,25,4487
20210630,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,10,4008
20210630,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,14,5040
20210630,S02001243,Hazlehead,S12000033,Aberdeen City,10,5648
20210630,S02001244,Summerhill,S12000033,Aberdeen City,9,3801
20210630,S02001245,Midstocket,S12000033,Aberdeen City,36,4544
20210630,S02001246,Rosemount,S12000033,Aberdeen City,31,5605
20210630,S02001247,West End North,S12000033,Aberdeen City,24,3647
20210630,S02001248,West End South,S12000033,Aberdeen City,33,6266
20210630,S02001249,City Centre West,S12000033,Aberdeen City,19,3949
20210630,S02001250,City Centre East,S12000033,Aberdeen City,9,2541
20210630,S02001251,Ferryhill North,S12000033,Aberdeen City,26,4991
20210630,S02001252,Ferryhill South,S12000033,Aberdeen City,19,4949
20210630,S02001253,"Kincorth, Leggart and Nigg North",S12000033,Aberdeen City,26,3938
20210630,S02001254,"Kincorth, Leggart and Nigg South",S12000033,Aberdeen City,42,5072
20210630,S02001255,Cove South,S12000033,Aberdeen City,43,3987
20210630,S02001256,Cove North,S12000033,Aberdeen City,36,3505
20210630,S02001257,Torry West,S12000033,Aberdeen City,21,5284
20210630,S02001258,Torry East,S12000033,Aberdeen City,24,4312
20210630,S02001259,Hanover South,S12000033,Aberdeen City,9,3282
20210630,S02001260,Hanover North,S12000033,Aberdeen City,23,4042
20210630,S02001261,George Street,S12000033,Aberdeen City,23,7105
20210630,S02001262,Ashgrove,S12000033,Aberdeen City,11,3785
20210630,S02001263,"Froghall, Powis and Sunnybank",S12000033,Aberdeen City,25,5654
20210630,S02001264,Seaton,S12000033,Aberdeen City,19,4621
20210630,S02001265,Old Aberdeen,S12000033,Aberdeen City,12,4255
20210630,S02001266,Tillydrone,S12000033,Aberdeen City,18,5416
20210630,S02001267,Woodside,S12000033,Aberdeen City,12,3923
20210630,S02001268,Hilton,S12000033,Aberdeen City,19,6138
20210630,S02001269,Stockethill,S12000033,Aberdeen City,19,5391
20210630,S02001270,Mastrick,S12000033,Aberdeen City,15,4612
20210630,S02001271,Sheddocksley,S12000033,Aberdeen City,5,4840
20210630,S02001272,Cummings Park,S12000033,Aberdeen City,7,3436
20210630,S02001273,Northfield,S12000033,Aberdeen City,21,5355
20210630,S02001274,Heathryfold and Middlefield,S12000033,Aberdeen City,8,4959
20210630,S02001275,Kingswells,S12000033,Aberdeen City,21,5986
20210630,S02001276,Bucksburn South,S12000033,Aberdeen City,15,4458
20210630,S02001277,Bucksburn North,S12000033,Aberdeen City,14,5304
20210630,S02001278,Dyce,S12000033,Aberdeen City,17,5247
20210630,S02001279,Danestone,S12000033,Aberdeen City,20,3961
20210630,S02001280,Oldmachar West,S12000033,Aberdeen City,19,4480
20210630,S02001281,Oldmachar East,S12000033,Aberdeen City,14,4771
20210630,S02001282,Balgownie and Donmouth West,S12000033,Aberdeen City,12,3668
20210630,S02001283,Balgownie and Donmouth East,S12000033,Aberdeen City,5,2630
20210630,S02001284,Denmore,S12000033,Aberdeen City,28,3792
20210630,S02001285,East Cairngorms,S12000034,Aberdeenshire,,3034
20210630,S02001286,Aboyne and South Deeside,S12000034,Aberdeenshire,7,5266
20210630,S02001287,Mearns and Laurencekirk,S12000034,Aberdeenshire,13,4457
20210630,S02001288,Mearns South and Benholm,S12000034,Aberdeenshire,7,4052
20210630,S02001289,Mearns North and Inverbervie,S12000034,Aberdeenshire,15,5663
20210630,S02001290,"Fetteresso, Netherley and Catter",S12000034,Aberdeenshire,22,4633
20210630,S02001291,Stonehaven South,S12000034,Aberdeenshire,29,5220
20210630,S02001292,Stonehaven North,S12000034,Aberdeenshire,29,5641
20210630,S02001293,Newtonhill,S12000034,Aberdeenshire,9,2895
20210630,S02001294,Portlethen,S12000034,Aberdeenshire,13,4224
20210630,S02001295,Banchory-Devenick and Findon,S12000034,Aberdeenshire,33,5942
20210630,S02001296,"Dunecht, Durris and Drumoak",S12000034,Aberdeenshire,8,5160
20210630,S02001297,Banchory East,S12000034,Aberdeenshire,4,4181
20210630,S02001298,Banchory West,S12000034,Aberdeenshire,,2877
20210630,S02001299,Crathes and Torphins,S12000034,Aberdeenshire,6,4307
20210630,S02001300,Cromar and Kildrummy,S12000034,Aberdeenshire,,3942
20210630,S02001301,Howe of Alford,S12000034,Aberdeenshire,10,6303
20210630,S02001302,Kemnay,S12000034,Aberdeenshire,6,3471
20210630,S02001303,Inverurie North,S12000034,Aberdeenshire,,5318
20210630,S02001304,Inverurie South,S12000034,Aberdeenshire,9,5219
20210630,S02001305,Durno-Chapel of Garioch,S12000034,Aberdeenshire,14,7205
20210630,S02001306,Kintore,S12000034,Aberdeenshire,9,5881
20210630,S02001307,Blackburn,S12000034,Aberdeenshire,,3438
20210630,S02001308,Westhill North and South,S12000034,Aberdeenshire,12,5138
20210630,S02001309,Westhill Central,S12000034,Aberdeenshire,27,3813
20210630,S02001310,Garlogie and Elrick,S12000034,Aberdeenshire,32,3924
20210630,S02001311,Newmachar and Fintray,S12000034,Aberdeenshire,15,4258
20210630,S02001312,Balmedie and Potterton,S12000034,Aberdeenshire,12,5390
20210630,S02001313,Ellon East,S12000034,Aberdeenshire,7,6106
20210630,S02001314,Ellon West,S12000034,Aberdeenshire,9,4001
20210630,S02001315,Ythanside,S12000034,Aberdeenshire,6,4634
20210630,S02001316,Ythsie,S12000034,Aberdeenshire,7,6093
20210630,S02001317,Barrahill,S12000034,Aberdeenshire,22,5008
20210630,S02001318,Fyvie-Rothie,S12000034,Aberdeenshire,,3919
20210630,S02001319,"Insch, Oyne and Ythanwells",S12000034,Aberdeenshire,,5059
20210630,S02001320,Clashindarroch,S12000034,Aberdeenshire,6,4615
20210630,S02001321,Huntly,S12000034,Aberdeenshire,4,4159
20210630,S02001322,Auchterless and Monquhitter,S12000034,Aberdeenshire,14,2864
20210630,S02001323,Turriff,S12000034,Aberdeenshire,18,4437
20210630,S02001324,"Portsoy, Fordyce and Cornhill",S12000034,Aberdeenshire,3,3149
20210630,S02001325,Aberchirder and Whitehills,S12000034,Aberdeenshire,7,3775
